college_name,city,state,college_type,stream,programs,annual_fees,avg_placement,highest_placement,eligibility,hostel,website
ABC Institute of Technology,Pune,Maharashtra,Private,Science,"B.Tech CSE|B.Tech AI & DS|B.Tech E&TC",150000,650000,1800000,"12th PCM + entrance exam",Yes,https://example.com
COEP Technological University,Pune,Maharashtra,Government,Science,"B.Tech CSE|B.Tech AI & DS|B.Tech E&TC|B.Tech Electrical|B.Tech Mechanical",N/A,N/A,N/A,"12th PCM + MHT-CET/JEE Main",Yes,https://www.coeptech.ac.in/
Veermata Jijabai Technological Institute,Mumbai,Maharashtra,Government,Science,"B.Tech Computer Engineering|B.Tech Information Technology|B.Tech Electronics|B.Tech Electrical|B.Tech Mechanical",N/A,N/A,N/A,"12th PCM + MHT-CET/JEE Main",Yes,https://vjti.ac.in/
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Government,Science,"B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Civil Engineering",N/A,N/A,N/A,"12th PCM + JEE Advanced",Yes,https://www.iitb.ac.in/
Indian Institute of Technology Delhi,New Delhi,Delhi,Government,Science,"B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Civil Engineering",N/A,N/A,N/A,"12th PCM + JEE Advanced",Yes,https://home.iitd.ac.in/
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,Science,"B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Aerospace Engineering",N/A,N/A,N/A,"12th PCM + JEE Advanced",Yes,https://www.iitm.ac.in/
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,Science,"B.Tech CSE|B.Tech ECE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering",N/A,N/A,N/A,"12th PCM + JEE Main",Yes,https://www.nitt.edu/
National Institute of Technology Karnataka,Surathkal,Karnataka,Government,Science,"B.Tech CSE|B.Tech AI|B.Tech ECE|B.Tech IT|B.Tech Mechanical Engineering",N/A,N/A,N/A,"12th PCM + JEE Main",Yes,https://www.nitk.ac.in/
Birla Institute of Technology and Science Pilani,Pilani,Rajasthan,Deemed University,Science,"B.E. Computer Science|B.E. Electronics and Communication|B.E. Electrical and Electronics|B.E. Mechanical",N/A,N/A,N/A,"12th PCM + BITSAT",Yes,https://www.bits-pilani.ac.in/
